frecuencia_hz,y11_real_s,y11_imag_s,y11_mod_s,y11_fase_deg,y12_real_s,y12_imag_s,y12_mod_s,y12_fase_deg,y21_real_s,y21_imag_s,y21_mod_s,y21_fase_deg,y22_real_s,y22_imag_s,y22_mod_s,y22_fase_deg
33.1131121,2.77555756e-16,5.27145676e-09,5.271456760000007e-09,89.99999698322985,-2.43658409e-16,-4.54324127e-09,4.543241270000006e-09,-90.0000030728279,-0.741398573,3.5218679e-08,0.7413985730000008,179.99999727827685,0.74142482,-2.82536551e-08,0.7414248200000004,-2.183384140078118e-06
33.8844156,3.05311332e-16,5.39424476e-09,5.3942447600000086e-09,89.9999967570899,-2.55141676e-16,-4.64906695e-09,4.649066950000007e-09,-90.00000314440325,-0.741398573,3.60390274e-08,0.7413985730000008,179.99999721487976,0.74142482,-2.89117672e-08,0.7414248200000004,-2.2342416845780324e-06
34.673685,3.05311332e-16,5.51989287e-09,5.5198928700000085e-09,89.99999683090756,-2.67166133e-16,-4.75735763e-09,4.757357630000008e-09,-90.00000321764581,-0.741398573,3.68784842e-08,0.7413985730000008,179.99999715000598,0.74142482,-2.95852088e-08,0.7414248200000004,-2.28628386119216e-06
35.4813389,3.05311332e-16,5.64846769e-09,5.648467690000007e-09,89.99999690304492,-2.79757285e-16,-4.86817073e-09,4.868170730000008e-09,-90.00000329259441,-0.741398573,3.77374944e-08,0.741398573000001,179.99999708362108,0.74142482,-3.02743368e-08,0.7414248200000007,-2.339538250415724e-06
36.3078055,3.33066907e-16,5.7800374e-09,5.780037400000009e-09,89.99999669840751,-2.9294184e-16,-4.98156499e-09,4.981564990000009e-09,-90.00000336928879,-0.741398573,3.86165136e-08,0.741398573000001,179.99999701568993,0.74142482,-3.09795167e-08,0.7414248200000007,-2.3940330973341985e-06
37.1535229,3.60822483e-16,5.91467177e-09,5.91467177000001e-09,89.99999650469101,-3.06747763e-16,-5.09760054e-09,5.097600540000009e-09,-90.0000034477696,-0.741398573,3.95160078e-08,0.741398573000001,179.9999969461764,0.74142482,-3.17011224e-08,0.7414248200000007,-2.449797296167714e-06
38.0189396,3.60822483e-16,6.05244217e-09,6.052442170000011e-09,89.99999658425395,-3.2120434e-16,-5.21633891e-09,5.216338910000009e-09,-90.00000352807848,-0.741398573,4.04364538e-08,0.741398573000001,179.9999968750437,0.74142482,-3.24395364e-08,0.7414248200000007,-2.5068604057266483e-06
38.9045145,3.88578059e-16,6.19342166e-09,6.193421660000012e-09,89.99999640523704,-3.36342234e-16,-5.33784306e-09,5.3378430600000106e-09,-90.00000361025798,-0.741398573,4.13783398e-08,0.7413985730000011,179.99999680225412,0.74142482,-3.31951502e-08,0.7414248200000007,-2.5652526803227997e-06
39.8107171,4.02455846e-16,6.33768498e-09,6.337684980000013e-09,89.99999636160184,-3.52193555e-16,-5.46217739e-09,5.462177390000011e-09,-90.00000369435169,-0.741398573,4.23421652e-08,0.7413985730000011,179.99999672776906,0.74142482,-3.39683646e-08,0.7414248200000007,-2.625005092952768e-06
40.7380278,4.16333634e-16,6.48530863e-09,6.485308630000013e-09,89.99999632181574,-3.68791926e-16,-5.58940785e-09,5.589407850000012e-09,-90.0000037804042,-0.741398573,4.33284409e-08,0.7413985730000011,179.999996651549,0.74142482,-3.47595895e-08,0.7414248200000008,-2.6861493198423678e-06
